Tell Your World,26,1147,4
ネクストネスト,29,1131,4
メルト,28,1586,4
初音ミクの消失,35,1666,4
Blessing,27,986,4
alive,26,1016,4
ロキ,28,975,4
テオ,32,1221,4
ヒバナ -Reloaded-,32,1060,4
ハッピーシンセサイザ,28,1136,4
Nostalogic,28,985,4
ツギハギスタッカート,27,861,4
劣等上等,30,952,4
ドクター=ファンクビート,32,1198,4
フラジール,27,1040,4
ブリキノダンス,29,967,4
スイートマジック,27,1224,4
ぼうけんのしょがきえました！,31,1092,4
シャルル,27,824,4
ハロ／ハワユ,26,851,4
自傷無色,26,829,4
needLe,29,1029,4
アイドル新鋭隊,28,940,4
Ready Steady,29,667,4
セカイはまだ始まってすらいない,29,1027,4
悔やむと書いてミライ,30,973,4
セカイ,27,858,4
ワーワーワールド,28,960,4
アスノヨゾラ哨戒班,28,1208,4
ニア,27,841,4
Just Be Friends,28,989,4
脱法ロック,31,1145,4
命に嫌われている,29,979,4
ワールドイズマイン,28,1417,4
ダンスロボットダンス,29,1057,4
Hand in Hand,27,1072,4
夜咄ディセイブ,30,1311,4
Gimme×Gimme,29,907,4
ビバハピ,28,722,4
ジャンキーナイトタウンオーケストラ,31,1374,4
ミラクルペイント,29,1437,4
on the rocks,27,1004,4
携帯恋話,29,1131,4
39みゅーじっく！,28,1039,4
青く駆けろ！,27,1048,4
ステラ,30,1190,4
Leia - Remind,28,1155,4
ジャックポットサッドガール,29,767,4
メルティランドナイトメア,26,959,4
乙女解剖,27,1002,4
potatoになっていく,28,863,4
ローリンガール,31,1396,4
モア！ジャンプ！モア！,31,1257,4
裏表ラバーズ,30,1151,4
アンノウン・マザーグース,29,1292,4
愛されなくても君がいる,27,1075,4
ウミユリ海底譚,27,833,4
Forward,28,895,4
独りんぼエンヴィー,26,589,4
ニジイロストーリーズ,29,1054,4
ODDS&ENDS,29,921,4
ドラマツルギー,28,862,4
グリーンライツ・セレナーデ,31,1174,4
恋愛裁判,27,1149,4
＊ハロー、プラネット。,28,1076,4
千本桜,32,1257,4
ECHO,26,805,4
チュルリラ・チュルリラ・ダッダッダ！,31,1401,4
ブレス・ユア・ブレス,28,873,4
とても痛い痛がりたい,28,915,4
霽れを待つ,30,1106,4
ワールズエンド・ダンスホール,30,1044,4
ヒビカセ,28,1019,4
Color of Drops,27,918,4
RAD DOGS,30,1197,4
ミルククラウン・オン・ソーネチカ,30,1226,4
